Row,Column,Sample Type,Replicate #,*Target Name,*Sample Name,*Biological Set Name,*Well Note,Starting Quantity,Units
A,4,Std,4,Spacer,,C2-3_F10-dCCND2,1,6.40E-03,copy number
A,5,Std,5,Spacer,,C2-3_F10-dCCND2,1,3.20E-03,copy number
A,6,Std,6,Spacer,,C2-3_F10-dCCND2,1,1.60E-03,copy number
A,1,Std,1,Spacer,,C2-3_F10-dCCND2,1,5.12E-02,copy number
A,2,Std,2,Spacer,,C2-3_F10-dCCND2,1,2.56E-02,copy number
A,3,Std,3,Spacer,,C2-3_F10-dCCND2,1,1.28E-02,copy number
A,10,Unkn,,Spacer,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
A,11,Unkn,,Spacer,no ab,C2-3_F10-dCCND2,100,N/A,copy number
A,12,Unkn,,Spacer,no ab,C2-3_F10-dCCND2,100,N/A,copy number
A,7,Unkn,,Spacer,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
A,8,Unkn,,Spacer,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
A,9,Unkn,,Spacer,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
B,4,Std,10,KLF14-1,,C2-3_F10-dCCND2,1,6.40E-03,copy number
B,5,Std,11,KLF14-1,,C2-3_F10-dCCND2,1,3.20E-03,copy number
B,6,Std,12,KLF14-1,,C2-3_F10-dCCND2,1,1.60E-03,copy number
B,1,Std,7,KLF14-1,,C2-3_F10-dCCND2,1,5.12E-02,copy number
B,2,Std,8,KLF14-1,,C2-3_F10-dCCND2,1,2.56E-02,copy number
B,3,Std,9,KLF14-1,,C2-3_F10-dCCND2,1,1.28E-02,copy number
B,10,Unkn,,KLF14-1,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
B,11,Unkn,,KLF14-1,no ab,C2-3_F10-dCCND2,100,N/A,copy number
B,12,Unkn,,KLF14-1,no ab,C2-3_F10-dCCND2,100,N/A,copy number
B,7,Unkn,,KLF14-1,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
B,8,Unkn,,KLF14-1,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
B,9,Unkn,,KLF14-1,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
C,4,Std,16,CCND2-1,,C2-3_F10-dCCND2,1,6.40E-03,copy number
C,5,Std,17,CCND2-1,,C2-3_F10-dCCND2,1,3.20E-03,copy number
C,6,Std,18,CCND2-1,,C2-3_F10-dCCND2,1,1.60E-03,copy number
C,1,Std,13,CCND2-1,,C2-3_F10-dCCND2,1,5.12E-02,copy number
C,2,Std,14,CCND2-1,,C2-3_F10-dCCND2,1,2.56E-02,copy number
C,3,Std,15,CCND2-1,,C2-3_F10-dCCND2,1,1.28E-02,copy number
C,10,Unkn,,CCND2-1,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
C,11,Unkn,,CCND2-1,no ab,C2-3_F10-dCCND2,100,N/A,copy number
C,12,Unkn,,CCND2-1,no ab,C2-3_F10-dCCND2,100,N/A,copy number
C,7,Unkn,,CCND2-1,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
C,8,Unkn,,CCND2-1,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
C,9,Unkn,,CCND2-1,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
D,7,Unkn,,CCND2-2*,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
D,8,Unkn,,CCND2-2*,BMI1,C2-3_F10-dCCND2,100,N/A,copy number
D,5,Std,23,CCND2-2*,,C2-3_F10-dCCND2,1,3.20E-03,copy number
D,6,Std,24,CCND2-2*,,C2-3_F10-dCCND2,1,1.60E-03,copy number
D,11,Unkn,,CCND2-2*,no ab,C2-3_F10-dCCND2,100,N/A,copy number
D,12,Unkn,,CCND2-2*,no ab,C2-3_F10-dCCND2,100,N/A,copy number
D,9,Unkn,,CCND2-2*,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
D,10,Unkn,,CCND2-2*,CBX2,C2-3_F10-dCCND2,100,N/A,copy number
D,4,Std,22,CCND2-2*,,C2-3_F10-dCCND2,1,6.40E-03,copy number
D,1,Std,19,CCND2-2*,,C2-3_F10-dCCND2,1,5.12E-02,copy number
D,2,Std,20,CCND2-2*,,C2-3_F10-dCCND2,1,2.56E-02,copy number
D,3,Std,21,CCND2-2*,,C2-3_F10-dCCND2,1,1.28E-02,copy number
E,4,Std,28,CCND2-3,,C2-3_F10-dCCND2,1,6.40E-03,copy number
E,5,Std,29,CCND2-3,,C2-3_F10-dCCND2,1,3.20E-03,copy number
E,6,Std,30,CCND2-3,,C2-3_F10-dCCND2,1,1.60E-03,copy number
